beta,seed,algorithm,metric,sha256,source
0.01,1024,DFL,comm,be382dd2a95fe4347f69e3be18703e74e74f6d19db94fd94ec2ed90b94853423,output/5/0.01/comm_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_07_06_03_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.01_dfl
0.01,1024,DFL_MM,test_acc,be11aafcc215a2ba0975c3423e9ea14715734ad21ceaf4b9f7a3a5e763ba3fa4,output/5/0.01/test_acc_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_41_12_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.01_dflmm
0.01,1024,DFL_MM,time,ea6e613952d795f971c95f1b37ce65cae59d99e28d838628b27a385bd0e374b0,output/5/0.01/time_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_41_12_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.01_dflmm
0.01,1024,DFL_MM,comm,66cb89a33c42f08a09afa6f5b3936fb8fa5ae8e8e9a049152a754a132df044c8,output/5/0.01/comm_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_41_12_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.01_dflmm
0.01,1024,DFedPGP,test_acc,b9330e92509992195f0a8c86994204f70cf5b1b5f501dfaf6182abeed2ed67c0,output/5/0.01/test_acc_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_07_21_06_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.01_dfedpgp
0.01,1024,DFedPGP,time,e6fb64d37cc12c700ce072cd174c32d18e654555ff0f6bf869fc09bc79ef4f84,output/5/0.01/time_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_07_21_06_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.01_dfedpgp
0.01,1024,DFedPGP,comm,86d2f75c0686e7258b476b67d304e107ca9d207a36b00a4a169a3889141685b3,output/5/0.01/comm_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_07_21_06_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.01_dfedpgp
0.01,1024,LD_SGD,test_acc,7f7ea37fd931fb6c79a8aa84d992cca727928c2eb908954a4e02819ca84e8e5f,output/5/0.01/test_acc_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_07_46_20_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.01_ldsgd
0.01,1024,LD_SGD,time,fe131d7dde5522a43e0dbbcb86567d2c604466de54acae32647ff2de76a370b3,output/5/0.01/time_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_07_46_20_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.01_ldsgd
0.01,1024,LD_SGD,comm,b04b50d6535997fcb9ec2b24c37225231873b08bd1d01336825d6e449e3941a1,output/5/0.01/comm_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_07_46_20_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.01_ldsgd
0.05,1,AutoRL_DFL_MM,test_acc,f5e3b5b1608d0d9936a57d9e61fc5a5485efadf8bac180216952bfc9b26fd078,output/5/0.05/test_acc_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_42_50_numuser10_clientSelection_autorl_tagseed1_beta0.05_autorl
0.05,1,AutoRL_DFL_MM,time,6e8025feff1914e81718cefec4b5222fb0e462bcb53fb57ab2752d8825a8a764,output/5/0.05/time_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_42_50_numuser10_clientSelection_autorl_tagseed1_beta0.05_autorl
0.05,1,AutoRL_DFL_MM,comm,0a4a81b89c9cc88b180a8fbc9b122ccf2de089968ee68b9c669c6e83965801b9,output/5/0.05/comm_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_42_50_numuser10_clientSelection_autorl_tagseed1_beta0.05_autorl
0.05,1,DFL,test_acc,0ac5ed57324cd4ff71c375b19179d3f0ec98e305f170f64eb503e2342db091e4,output/5/0.05/test_acc_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_56_24_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_dfl
0.05,1,DFL,time,0b39a8c9c1f9263b0f79ff7fd83e8cb41a03d13df1d293370d58f6962edd1b4d,output/5/0.05/time_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_56_24_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_dfl
0.05,1,DFL,comm,21f322d02ed8859d48a82f5f92d570c2221c56db8de729e0c01561523122af33,output/5/0.05/comm_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_56_24_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_dfl
0.05,1,DFL_MM,test_acc,ec262d4def20cb9bf8a6e8127f50595b3f4d461bb68cb3c454a35419e51111da,output/5/0.05/test_acc_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_24_52_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_dflmm
0.05,1,DFL_MM,time,58e1e9c0d2576be94fec45740cd43fcf89c6a70e49dc285ac5a8ecc6c44384c8,output/5/0.05/time_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_24_52_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_dflmm
0.05,1,DFL_MM,comm,66cb89a33c42f08a09afa6f5b3936fb8fa5ae8e8e9a049152a754a132df044c8,output/5/0.05/comm_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_22_23_24_52_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_dflmm
0.05,1,DFedPGP,test_acc,5156bf3c6e3306562e3647533628f288427f8e4d8c3fddc99976507a22e2085c,output/5/0.05/test_acc_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_56_43_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_dfedpgp
0.05,1,DFedPGP,time,f04077e3c8574e882233594d19141ee700793402573dc8d49512d57293897a58,output/5/0.05/time_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_56_43_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_dfedpgp
0.05,1,DFedPGP,comm,8007e2931c992c8bf6485aba2a461b33c099ac244fb4ef2801624ceb8ca25131,output/5/0.05/comm_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_56_43_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_dfedpgp
0.05,1,LD_SGD,test_acc,695ab88e06298d26a46298febbaae82cf9cf44335dd95dca24e4ae3e50bb3f47,output/5/0.05/test_acc_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_57_49_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_ldsgd
0.05,1,LD_SGD,time,be785b65da858952043156e5ab78453693d7addf8082b49b429d26562a8318c9,output/5/0.05/time_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_57_49_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_ldsgd
0.05,1,LD_SGD,comm,f9d60fee0f821994f08b73e289945907f00930dedb8099a4685db559eae520aa,output/5/0.05/comm_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_18_57_49_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1_beta0.05_ldsgd
0.05,42,AutoRL_DFL_MM,test_acc,55028acdcf6dd34e3ff2c6c272081900ccd4318165c7bcc0939b80dd443dcbe8,output/5/0.05/test_acc_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_18_27_numuser10_clientSelection_autorl_tagseed42_beta0.05_autorl
0.05,42,AutoRL_DFL_MM,time,2299029ec121bfdaa18eff1bcc5d84479a9ccbd7274a3e3ae90003285822766c,output/5/0.05/time_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_18_27_numuser10_clientSelection_autorl_tagseed42_beta0.05_autorl
0.05,42,AutoRL_DFL_MM,comm,e1483684231cb8222572044d8b31368a7f96e7e4e797d1eccf0110cab69ebc3b,output/5/0.05/comm_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_18_27_numuser10_clientSelection_autorl_tagseed42_beta0.05_autorl
0.05,42,DFL,test_acc,f36ebb80ddeeb09fea9da172430f1a531b01b0704f08cbe0b42fc482c0c01c20,output/5/0.05/test_acc_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_12_58_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_dfl
0.05,42,DFL,time,ae92198306f41fbc8a08413ff538cc4d12ff37e3d7483efd753a10475c793419,output/5/0.05/time_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_12_58_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_dfl
0.05,42,DFL,comm,afc2a55422a63f0e831df39726d5aa7f4161f5b2553c84454fcc02759861e8cb,output/5/0.05/comm_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_12_58_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_dfl
0.05,42,DFL_MM,test_acc,ba11fba8b67a49b3d2358daf4d97227600e253f8a4e23ee2d9a65301def7fa9a,output/5/0.05/test_acc_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_18_26_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_dflmm
0.05,42,DFL_MM,time,6c7982afd5e57bc7b06bfac45cdc457166a27bc312d9787255dd381fa480cc34,output/5/0.05/time_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_18_26_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_dflmm
0.05,42,DFL_MM,comm,66cb89a33c42f08a09afa6f5b3936fb8fa5ae8e8e9a049152a754a132df044c8,output/5/0.05/comm_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_00_18_26_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_dflmm
0.05,42,DFedPGP,test_acc,68026a833e0b78fafcfda308baaa0bf58da9be21c37adf40abce7c3b4ff55b25,output/5/0.05/test_acc_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_19_49_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_dfedpgp
0.05,42,DFedPGP,time,5d4cce301c91a05bcbfe547fa3bb1627a4d944a412636080fb89b4a013574767,output/5/0.05/time_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_19_49_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_dfedpgp
0.05,42,DFedPGP,comm,f56a1f3c9f3bb1e48efb1dd595be65cc272bd4e5d90aa8139fe25b6dcb8a6ee7,output/5/0.05/comm_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_19_49_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_dfedpgp
0.05,42,LD_SGD,test_acc,1c92fa70719d57fda147e1e3e35de629b8afebde4f7aca4488868a0dc6a26b01,output/5/0.05/test_acc_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_53_58_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_ldsgd
0.05,42,LD_SGD,time,c49c6bd9d08d7ab50b219f5d121fffb2d9de8d8088066b5f9e6e6793a8778c10,output/5/0.05/time_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_53_58_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_ldsgd
0.05,42,LD_SGD,comm,9110ad25db655b16b40d2f3ab1382737409383105ebcd1c9d3bc4b1a37f8820b,output/5/0.05/comm_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_24_23_53_58_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed42_beta0.05_ldsgd
0.05,1024,AutoRL_DFL_MM,test_acc,465e95fc57e5b255223d8e01c444713d7fe036bb2ec284ab1884013762c8a634,output/5/0.05/test_acc_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_34_33_numuser10_clientSelection_autorl_tagseed1024_beta0.05_autorl
0.05,1024,AutoRL_DFL_MM,time,40333871642a5003fa0102b38135d9f958c9b45e2870ca9822c6c7236d2b6714,output/5/0.05/time_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_34_33_numuser10_clientSelection_autorl_tagseed1024_beta0.05_autorl
0.05,1024,AutoRL_DFL_MM,comm,109240626621a3a28d9a9fe68d2c900266d50cc845a0be1526127a85b063b811,output/5/0.05/comm_AutoRL_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_34_33_numuser10_clientSelection_autorl_tagseed1024_beta0.05_autorl
0.05,1024,DFL,test_acc,d5f48738f60c9ae0a5ee54ac32d4b50fdaa4c01850f548a23c2731a19d3ec660,output/5/0.05/test_acc_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_55_51_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_dfl
0.05,1024,DFL,time,0ba3236470e094d010c394b3c8dfad9b48c291540964bcdc778125c6a673ae4c,output/5/0.05/time_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_55_51_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_dfl
0.05,1024,DFL,comm,be382dd2a95fe4347f69e3be18703e74e74f6d19db94fd94ec2ed90b94853423,output/5/0.05/comm_DFL_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_55_51_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_dfl
0.05,1024,DFL_MM,test_acc,80d27800859bc788990b4830e776b17f9da39b3ced0059270ecfe928af6fbb20,output/5/0.05/test_acc_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_31_35_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_dflmm
0.05,1024,DFL_MM,time,61edc2d71ff9ea5111e0ae8255db781f7321b7575b64a28b0902b35fae5fa674,output/5/0.05/time_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_31_35_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_dflmm
0.05,1024,DFL_MM,comm,66cb89a33c42f08a09afa6f5b3936fb8fa5ae8e8e9a049152a754a132df044c8,output/5/0.05/comm_DFL_MM_TinyImagenet_resnet8_200_lr0.01_2026_05_23_04_31_35_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_dflmm
0.05,1024,DFedPGP,test_acc,600ccf42436d9f997a24ee2b35f0a4b15715a264736304ae48361dc5d712ec72,output/5/0.05/test_acc_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_56_34_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_dfedpgp
0.05,1024,DFedPGP,time,e6fb64d37cc12c700ce072cd174c32d18e654555ff0f6bf869fc09bc79ef4f84,output/5/0.05/time_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_56_34_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_dfedpgp
0.05,1024,DFedPGP,comm,86d2f75c0686e7258b476b67d304e107ca9d207a36b00a4a169a3889141685b3,output/5/0.05/comm_DFedPGP_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_56_34_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_dfedpgp
0.05,1024,LD_SGD,test_acc,b906bb6ceba76749a67859f3307ad163f4a4da6c9bf1951723cb651d2a481775,output/5/0.05/test_acc_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_59_23_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_ldsgd
0.05,1024,LD_SGD,time,fe131d7dde5522a43e0dbbcb86567d2c604466de54acae32647ff2de76a370b3,output/5/0.05/time_LD_SGD_TinyImagenet_resnet8_200_lr0.01_2026_05_25_06_59_23_numuser10_clientSelection_comprehensive_0.8_0.0_0.2_tagseed1024_beta0.05_ldsgd
